,Pathogen,Numlist,StudyNum,Study,Author,year,Gene_ID,Virulence_factor,Disease_Variable_Recat,Mutant_dis_mean,Mutant_dis_mean_stand,Mutant_sdcal,Mutant_dis_sd,Mutant_dis_sd_stand,Mutant_N,SE_SD,Wildtype_dis_mean,Wildtype_dis_mean_stand,Wildtype_sdcal,Wildtype_dis_sd,Wildtype_dis_sd_stand,Wildtype_N,Infection_Strategy,Necrotrophic,Saprophytic,Hemibiotrophic,Biotrophic,Class of Host being affected,Fruits,Field,Woody,Ornamental,Mode of transmission,Air,Soil,Water,Host tissue target,Leaves/stem,Fruits/Flower,Root/Vascular,Seeds/grains,Type of disease,Cohen_d,perchange
210,Colletotrichum camelliae,493,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,5.4,5.4,6.035294118,0.635294118,0.635294118,3,sd,8.364705882,8.364705882,9.105882353,0.741176471,0.741176471,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,-4.295003935,-0.35443038
209,Colletotrichum camelliae,492,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,6.035294118,6.035294118,6.882352941,0.847058824,0.847058824,3,sd,7.729411765,7.729411765,8.470588235,0.741176471,0.741176471,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,-2.128608336,-0.219178082
206,Colletotrichum camelliae,488,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,7.303370787,7.303370787,8.426966292,1.123595506,1.123595506,3,sd,7.97752809,7.97752809,9.213483146,1.235955056,1.235955056,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,-0.570781793,-0.084507042
208,Colletotrichum camelliae,490,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,4.329411765,4.329411765,5.458823529,1.129411765,1.129411765,3,sd,4.705882353,4.705882353,5.647058824,0.941176471,0.941176471,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,-0.362142984,-0.08
207,Colletotrichum camelliae,491,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,5.270588235,5.270588235,6.305882353,1.035294118,1.035294118,3,sd,5.552941176,5.552941176,6.588235294,1.035294118,1.035294118,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,-0.272727272,-0.050847458
205,Colletotrichum camelliae,489,52,Pectate Lyase Genes Abundantly Expressed During the Infection Regulate Morphological Development of Colletotrichum camelliae and CcPEL16 Is Required for Full Virulence to Tea Plants,Jiang,2023,CcPEL16,Enzymes,colony diameter,4.380952381,4.380952381,4.666666667,0.285714286,0.285714286,3,sd,4.380952381,4.380952381,5.142857143,0.761904762,0.761904762,3,Hemibiotrophic,0,0,1,0,ornamental,0,0,0,1,Water,0,0,1,Leaves/fruits,1,1,0,0,anthracnose,0,0
11,Botrytis cinerea,4,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.185185185,0.185185185,0.195473251,1.03E-02,1.03E-02,20,sd,0.341563786,0.341563786,0,2.98E-02,2.98E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-7.007592835,-0.457831326
15,Botrytis cinerea,7,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.364285714,0.364285714,0.391428571,2.71E-02,2.71E-02,20,sd,0.56,0.56,0,2.57E-02,2.57E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-7.402741145,-0.349489796
12,Botrytis cinerea,5,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.233539095,0.233539095,0.241769547,8.23E-03,8.23E-03,20,sd,0.341563786,0.341563786,0,2.98E-02,2.98E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-4.93611527,-0.316265059
17,Botrytis cinerea,8,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.414285714,0.414285714,0.441428571,2.71E-02,2.71E-02,20,sd,0.56,0.56,0,2.57E-02,2.57E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-5.511529907,-0.260204082
